molecule_chembl_id,canonical_smiles,bioactivity_class,standard_value,MW,LogP,NumHDonors,NumHAcceptors
CHEMBL195029,COc1cc(Nc2c(C#N)cnc3cc4cc(OCCN5CCOCC5)c(OC)cc4cc23)c(Cl)cc1Cl,inactive,20000.0,553.4460000000004,6.038280000000005,1.0,8.0
CHEMBL120077,COc1cc2c(cc1OC)-c1n[nH]c(Nc3cccc(F)c3)c1C2,inactive,100000.0,325.3430000000001,3.8808000000000016,2.0,4.0
CHEMBL259551,Nc1n[nH]c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,inactive,1900.0,327.3510000000001,2.916800000000001,2.0,6.0
CHEMBL369976,Nc1nn(CCO)c2nnc(-c3c(-c4ccccc4)nn4ccccc34)cc12,inactive,5100.0,371.40400000000005,2.3825000000000003,2.0,8.0
CHEMBL199395,C=CCn1nc(N)c2cc(-c3c(-c4ccccc4)nn4ccccc34)nnc21,active,560.0,367.41600000000005,3.576200000000002,1.0,7.0
CHEMBL370379,Cn1nc(N)c2cc(-c3c(-c4ccccc4)nn4ccccc34)nnc21,inactive,1400.0,341.3780000000001,2.927200000000001,1.0,7.0
CHEMBL383104,CCCCNC(=O)N1Cc2n[nH]c(NC(=O)Cc3ccc(N4CCCC4)cc3)c2C1,active,280.0,410.5220000000003,3.016400000000001,3.0,4.0
CHEMBL380946,CCCCNC(=O)N1Cc2n[nH]c(NC(=O)[C@@H](C)c3ccc4ccccc4c3)c2C1,active,380.0,405.5020000000002,4.1304000000000025,3.0,3.0
CHEMBL383541,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,inactive,12850.0,370.4560000000001,4.077100000000003,2.0,4.0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,active,370.0,466.5410000000003,4.354000000000003,2.0,6.0
CHEMBL606964,COc1ccc(N2Cc3cnc(Nc4ccc(F)cc4)nc3N([C@@H]3CC[C@@H](O)C3)C2=O)cc1,inactive,12600.0,449.4860000000003,4.227900000000003,2.0,6.0
CHEMBL383541,N[C@H](COc1cncc(/C=C/c2ccncc2)c1)Cc1c[nH]c2ccccc12,inactive,12850.0,370.4560000000001,4.077100000000003,2.0,4.0
CHEMBL388978,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,active,370.0,466.5410000000003,4.354000000000003,2.0,6.0
CHEMBL383264,N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,active,910.0,394.4780000000001,4.726900000000003,2.0,4.0
CHEMBL207228,Cc1nn(C)c2c1c(=O)c1cc(Cl)ccc1n2O,inactive,50000.0,263.68399999999997,2.08732,1.0,5.0
CHEMBL207400,Cn1nc(C(F)(F)F)c2c(=O)c3cc(Cl)ccc3n(O)c21,inactive,50000.0,317.65400000000005,2.7977000000000007,1.0,5.0
CHEMBL437885,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCC1,inactive,10000.0,386.8580000000003,4.770300000000004,1.0,5.0
CHEMBL207815,COCCN1CC(C(N)=O)(N(C)Cc2cc3c(Nc4cccc(Cl)c4F)ncnc3cc2OC)C1,inactive,10000.0,502.97800000000024,2.7924000000000007,2.0,8.0
CHEMBL425601,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CN(C(C)C)C1,inactive,10000.0,486.9790000000004,3.554400000000003,2.0,7.0
CHEMBL207718,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CN(C)C1,inactive,10000.0,458.92500000000035,2.775800000000001,2.0,7.0
CHEMBL383246,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(C(C)C)CC1,inactive,10000.0,515.0330000000004,4.334600000000004,2.0,7.0
CHEMBL207130,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1(C(N)=O)CCN(C)CC1,inactive,10000.0,486.97900000000044,3.5560000000000027,2.0,7.0
CHEMBL380889,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](CN(C)C)C(N)=O,inactive,10000.0,460.9410000000003,3.0218000000000007,2.0,7.0
CHEMBL207445,COCC[C@@H](C(N)=O)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,inactive,10000.0,461.9250000000001,3.4967000000000015,2.0,7.0
CHEMBL379905,COC[C@@H](C(N)=O)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,inactive,10000.0,447.8980000000002,3.106600000000002,2.0,7.0
CHEMBL208286,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](CO)C(N)=O,inactive,10000.0,433.87100000000027,2.4525,3.0,7.0
CHEMBL376967,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(CCN(C)C)[C@@H](C)C(N)=O,inactive,10000.0,474.96800000000036,3.411900000000002,2.0,7.0
CHEMBL382823,COCCN(Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC)[C@@H](C)C(N)=O,inactive,10000.0,461.92500000000024,3.4967000000000006,2.0,7.0
CHEMBL208048,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C(C)C)[C@@H](C)C(N)=O,inactive,10000.0,445.9260000000003,4.258700000000004,2.0,6.0
CHEMBL378370,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)C1CCNC1=O,inactive,10000.0,429.88300000000027,3.4948000000000023,2.0,6.0
CHEMBL380006,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@H](C)C(=O)N(C)C,inactive,10000.0,445.9260000000003,4.083000000000004,1.0,6.0
CHEMBL211003,CNC(=O)[C@@H](C)N(C)Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,inactive,10000.0,431.89900000000017,3.740800000000002,2.0,6.0
CHEMBL207687,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@@H](C)C(N)=O,inactive,10000.0,417.87200000000024,3.480100000000002,2.0,6.0
CHEMBL208118,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)[C@H](C)C(N)=O,inactive,10000.0,417.87200000000024,3.480100000000002,2.0,6.0
CHEMBL379601,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN(C)CC(N)=O,inactive,10000.0,403.84500000000025,3.0916000000000015,2.0,6.0
CHEMBL380386,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN[C@H](C)C(N)=O,inactive,10000.0,403.8450000000002,3.137900000000001,3.0,6.0
CHEMBL207037,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CC(C(N)=O)C1,inactive,10000.0,415.8560000000003,3.0916000000000015,2.0,6.0
CHEMBL207246,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC1C(N)=O,inactive,10000.0,415.8560000000003,3.2341000000000015,2.0,6.0
CHEMBL207674,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCOCC1C(N)=O,inactive,10000.0,445.88200000000035,2.8606000000000007,2.0,7.0
CHEMBL206783,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCCC[C@@H]1C(N)=O,inactive,10000.0,443.91000000000037,4.014300000000003,2.0,6.0
CHEMBL204420,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCN(C)CC1C(N)=O,inactive,10000.0,458.92500000000035,2.7758000000000003,2.0,7.0
CHEMBL377772,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@H]1CC(N)=O,inactive,10000.0,443.91000000000037,4.014300000000003,2.0,6.0
CHEMBL380454,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CC[C@H](C(N)=O)C1,inactive,10000.0,429.8830000000003,3.481700000000002,2.0,6.0
CHEMBL382822,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@@H]1C(=O)N(C)C,inactive,10000.0,457.93700000000035,4.227100000000004,1.0,6.0
CHEMBL383760,CNC(=O)[C@H]1CCCN1Cc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OC,inactive,10000.0,443.91000000000014,3.884900000000002,2.0,6.0
CHEMBL207235,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1C[C@H](OC)C[C@@H]1C(N)=O,inactive,10000.0,459.90900000000033,3.249100000000001,2.0,7.0
CHEMBL208292,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@@H]1C(N)=O,inactive,10000.0,429.8830000000003,3.624200000000002,2.0,6.0
CHEMBL207584,COc1cc2ncnc(Nc3cccc(Cl)c3F)c2cc1CN1CCC[C@H]1C(N)=O,inactive,10000.0,429.8830000000003,3.624200000000002,2.0,6.0
CHEMBL382638,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CN1CCC[C@H]1C(N)=O,inactive,10000.0,429.8830000000003,3.624200000000002,2.0,6.0
CHEMBL206955,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1CN1CCC[C@@H]1C(N)=O,inactive,10000.0,429.8830000000003,3.624200000000002,2.0,6.0
CHEMBL383264,N[C@H](COc1cncc(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,active,910.0,394.4780000000001,4.726900000000003,2.0,4.0
CHEMBL210390,Nc1cc2cc(-c3cncc(OC[C@@H](N)Cc4c[nH]c5ccccc45)c3)ccc2cn1,inactive,1200.0,409.4930000000001,4.309100000000003,3.0,5.0
CHEMBL207544,C#Cc1ncc(OC[C@@H](N)Cc2c[nH]c3ccccc23)cc1-c1ccc2cnccc2c1,inactive,27200.0,418.5000000000001,4.708200000000002,2.0,4.0
CHEMBL378963,N[C@H](COc1cnc(Cl)c(-c2ccc3cnccc3c2)c1)Cc1c[nH]c2ccccc12,inactive,37000.0,428.9230000000002,5.380300000000003,2.0,4.0
CHEMBL215652,CC(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3Cl)cn12,inactive,10000.0,356.78800000000007,4.967200000000003,0.0,5.0
CHEMBL213451,CCNc1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12,inactive,10000.0,323.331,3.622200000000002,1.0,6.0
CHEMBL212968,CC(C)(C)c1nnc2ccc(-c3ocnc3-c3cc(F)c(F)cc3F)cn12,inactive,10000.0,372.35,4.766100000000003,0.0,5.0
CHEMBL213423,CC(C)c1nnc2ccc(-c3ocnc3-c3cc(F)c(F)cc3F)cn12,inactive,10000.0,358.32300000000004,4.592000000000002,0.0,5.0
CHEMBL212382,CC(C)(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3F)cn12,inactive,10000.0,354.36,4.627000000000003,0.0,5.0
CHEMBL214198,CC(C)c1nnc2ccc(-c3c[nH]nc3-c3cc(F)ccc3F)cn12,inactive,10000.0,339.349,4.188000000000002,1.0,4.0
CHEMBL379929,CC(C)c1nnc2ccc(-c3ocnc3-c3ccccc3)cn12,inactive,10000.0,304.353,4.174700000000003,0.0,5.0
CHEMBL215803,C[C@@H]1C[C@H]2CN1CCn1nc3c(cccc3c1O)-c1nc3c(cccc3nc1O)O2,inactive,1000.0,403.4420000000002,2.912900000000001,2.0,8.0
CHEMBL215803,C[C@@H]1C[C@H]2CN1CCn1nc3c(cccc3c1O)-c1nc3c(cccc3nc1O)O2,inactive,1000.0,403.4420000000002,2.912900000000001,2.0,8.0
CHEMBL215803,C[C@@H]1C[C@H]2CN1CCn1nc3c(cccc3c1O)-c1nc3c(cccc3nc1O)O2,inactive,1000.0,403.4420000000002,2.912900000000001,2.0,8.0
CHEMBL402548,CO[C@@H](C(=O)N1Cc2n[nH]c(NC(=O)c3ccc(N4CCN(C)CC4)cc3)c2C1)c1ccccc1,inactive,10000.0,474.56500000000034,2.643700000000001,2.0,6.0
CHEMBL228043,C/C(O)=C(\C#N)C(=O)Nc1cc(Br)ccc1Br,inactive,500000.0,360.005,3.505680000000001,2.0,3.0
CHEMBL226403,O=C1NCCc2[nH]c(-c3ccnc(-c4cnc5ccccc5c4)c3)cc21,inactive,3440.0,340.3860000000001,3.5778000000000025,2.0,3.0
CHEMBL226471,O=C1NCCc2[nH]c(-c3ccnc(-c4ccccc4F)c3)cc21,inactive,4600.0,307.3280000000001,3.168700000000001,2.0,2.0
